SN,author,year,location,country,TSI,Journal,study_design,Impact studied,impacted_entity,Impacted_system,mean_control,sd_control,ss_control,mean_invaded,sd_invaded,ss_invaded,,,,,,,,
283,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,Nitrogen,Nitrogen,Water Quality,0.726,0.082,27,0.475,0.053,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
284,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,Phosphate,Phosphate,Water Quality,0.598,0.095,27,0.37,0.041,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
285,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,Chlorophyll-a,Chlorophyll-a,Water Quality,10.31,1.19,27,11.13,1.51,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
286,Young et al.,2017,Nyanza Gulf of Lake Victoria,Kenya,NA,Int. J. Of Fisheries and Aquatic Research,Observation,Temperature,Temperature,Water Quality,24.62,4.94,10,25.6,4.39,10,"Effects of water hyacinth Infestation on water quality, fish species diversity and abundance in the Nyanza gulf of Lake Victoria, Kenya",,,,,,,
287,Young et al.,2017,Nyanza Gulf of Lake Victoria,Kenya,NA,Int. J. Of Fisheries and Aquatic Research,Observation,Dissolved oxygen,Dissolved oxygen,Water Quality,4.24,0.96,10,2.44,1.14,10,"Effects of water hyacinth Infestation on water quality, fish species diversity and abundance in the Nyanza gulf of Lake Victoria, Kenya",,,,,,,
288,Young et al.,2017,Nyanza Gulf of Lake Victoria,Kenya,NA,Int. J. Of Fisheries and Aquatic Research,Observation,pH,pH,Water Quality,7.62,0.42,10,6.05,1.04,10,"Effects of water hyacinth Infestation on water quality, fish species diversity and abundance in the Nyanza gulf of Lake Victoria, Kenya",,,,,,,
289,Young et al.,2017,Nyanza Gulf of Lake Victoria,Kenya,NA,Int. J. Of Fisheries and Aquatic Research,Observation,Nitrogen,Nitrogen,Water Quality,11.34,1.46,10,6.97,1.83,10,"Effects of water hyacinth Infestation on water quality, fish species diversity and abundance in the Nyanza gulf of Lake Victoria, Kenya",,,,,,,
290,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,Dissolved oxygen,Dissolved oxygen,Water quality,5.89,0.85,10,1.92,0.29,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
291,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,Temperature,Temperature,Water quality,26.7,0.52,10,27.16,0.64,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
292,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,pH,pH,Water quality,7.72,0.05,10,6.92,0.04,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
293,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,Turbidity,Turbidity,Water quality,18.67,1.99,10,31.75,1.23,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
294,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,Conductivity,Conductivity,Water quality,290.3,4.39,10,323.8,2.32,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
295,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,Nitrogen,Nitrogen,Water quality,12.36,1.07,10,6.91,1.09,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
296,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,Phosphate,Phosphate,Water quality,2.62,0.19,10,2.67,0.21,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
297,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,Chloride,Chloride,Water quality,5,0.52,10,6.73,1.23,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
298,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,Suspended solid,Suspended solid,Water quality,12.36,1.07,10,92.48,4,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
299,Mironga et al.,2012,Lake Naivasha,Kenya,NA,Int. J of Humanities and Social Science,Observation,Free carbon dioxide,Free carbon dioxide,Water quality,12.89,1.92,10,26.45,1.02,10,Effect of water hyacinth infestation on the physiochemical characteristics of Lake Naivasha,,,,,,,
300,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Temperature,Temperature,Water quality,17.1,NA,1,17,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
301,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Temperature,Temperature,Water quality,19.8,NA,1,18.4,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
302,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Temperature,Temperature,Water quality,29.1,NA,1,28.9,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
303,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Temperature,Temperature,Water quality,28.6,NA,1,28.5,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
304,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Temperature,Temperature,Water quality,23.4,NA,1,23.2,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
305,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,pH,pH,Water quality,8.6,NA,1,8.35,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
306,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,pH,pH,Water quality,8.01,NA,1,7.95,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
307,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,pH,pH,Water quality,7.75,NA,1,7.7,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
308,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,pH,pH,Water quality,7.98,NA,1,7.8,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
309,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,pH,pH,Water quality,8.08,NA,1,7.95,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
310,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Dissolved oxygen,Dissolved oxygen,Water quality,4.1,NA,1,0.8,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
311,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Dissolved oxygen,Dissolved oxygen,Water quality,0.57,NA,1,0.37,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
312,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Dissolved oxygen,Dissolved oxygen,Water quality,0,NA,1,0,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
313,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Dissolved oxygen,Dissolved oxygen,Water quality,0.5,NA,1,0,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
314,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Dissolved oxygen,Dissolved oxygen,Water quality,1.29,NA,1,0.29,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
315,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Free carbon dioxide,Free carbon dioxide,Water quality,34.5,NA,1,38.3,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
316,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Free carbon dioxide,Free carbon dioxide,Water quality,43.3,NA,1,42.6,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
317,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Free carbon dioxide,Free carbon dioxide,Water quality,31.6,NA,1,34.2,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
318,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Free carbon dioxide,Free carbon dioxide,Water quality,31,NA,1,31.4,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
319,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Free carbon dioxide,Free carbon dioxide,Water quality,35.1,NA,1,36.6,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
320,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Carbonate,Carbonate,Water quality,350.1,NA,1,360,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
321,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Carbonate,Carbonate,Water quality,346,NA,1,332.5,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
322,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Carbonate,Carbonate,Water quality,273.5,NA,1,259.2,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
323,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Carbonate,Carbonate,Water quality,229,NA,1,324,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
324,Rai & Munshi,1979,"Bhathwa Pokhar, Durbhanga",india,NA,Hydrobiologia ,Observation,Carbonate,Carbonate,Water quality,324.62,NA,1,344,NA,1,The influence of water hyacinth on the physio-chemical environment of a fresh water wetland.,,,,,,,
325,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Total nitrogen,Nitrogen,Water quality,1.9572,0.0145,1,0.7837,0.1596,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
326,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Nitrates-Nitrogen,Nitrogen,Water quality,0.7992,0.0117,1,0.00828,0.0011,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
327,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Ammonia-nitrogen,Nitrogen,Water quality,0.8274,0.0295,1,0.0194,0.003,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
328,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Total Phosphorus,Phosphate,Water quality,0.6348,0.0057,1,0.0833,0.0239,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
329,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Phosphate,Phosphate,Water quality,0.5809,0.0169,1,0.0069,0.0037,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
330,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,0.1032,0.001,1,0.0851,0.001,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
331,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Chlorophyll-a,Chlorophyll-a,Water quality,0.0093,0.0004,1,0.0119,0.0036,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
332,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Total nitrogen,Nitrogen,Water quality,4.914,0.0504,1,0.7888,0.1022,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
333,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Nitrates-Nitrogen,Nitrogen,Water quality,4.3236,0.0873,1,0.4572,0.1804,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
334,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Ammonia-nitrogen,Nitrogen,Water quality,4.3166,0.0336,1,0.0295,0.0225,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
335,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Total Phosphorus,Phosphate,Water quality,3.0062,0.0051,1,0.0783,0.00188,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
336,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Phosphate,Phosphate,Water quality,2.9058,0.0186,1,0.0173,0.0181,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
337,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,0.1031,0.001,1,0.893,0.0036,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
338,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Chlorophyll-a,Chlorophyll-a,Water quality,0.0151,0.0009,1,0.0123,0.006,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
339,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Total nitrogen,Nitrogen,Water quality,9.6768,0.0252,1,6.872,0.2725,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
340,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Nitrates-Nitrogen,Nitrogen,Water quality,7.577,0.0563,1,6.3342,0.3308,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
341,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Ammonia-nitrogen,Nitrogen,Water quality,8.825,0.0682,1,6.1753,0.6913,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
342,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Total Phosphorus,Phosphate,Water quality,6.1842,0.0055,1,5.0081,0.143,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
343,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Phosphate,Phosphate,Water quality,6.1384,0.0117,1,4.5557,0.03211,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
344,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,0.1053,0.0021,1,0.083,0.0072,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
345,Petrucio & Esteves,2020,"Coastal agoon, Rio de Janeiro",Brazil,NA,Revista Brasilleira de Biologia,Observation,Chlorophyll-a,Chlorophyll-a,Water quality,0.0028,0.0007,1,0.0036,0.0018,1,Uptake rates of nitrogen and phosphorus in the water by Eichhornia crassipes and Salvinia auriculata,,,,,,,
